variable,type,usable,description
annual_income,int,"yes, bin",The self-reported annual income provided by the borrower during registration.
delinquency_2y,"int,cat",yes,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years.
description,str,TBD,Loan description provided by the borrower.
debt_to_income,int,yes,"A ratio calculated using the borrower's total monthly debt payments on the total debt obligations, excluding mortgage and the requested loan, divided by the borrowerâ€™s self-reported monthly income."
earliest_credit_line,int,TBD,The month the borrower's earliest reported credit line was opened.
employment_length,cat,yes,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.
job_title,str,NO,The job title supplied by the borrower when applying for the loan.
home_ownership,cat,yes,"The home ownership status provided by the borrower during registration. The values are: RENT, OWN, MORTGAGE, OTHER."
inquiries_6m,"int,cat",yes,The number of inquiries in past 6 months (excluding auto and mortgage inquiries).
installment,int,yes,The monthly payment owed by the borrower.
interest_rate,int,yes,Interest rate on the loan.
issue_date,date,TDB,The month which the loan was funded.
loan_amount,int,yes,The listed amount of the loan applied for by the borrower.
loan_status,"cat,y",yes,Current status of the loan.
last_delinquency_months,int,yes,The number of months since the borrower's last delinquency.
last_derog_months,int,yes,Months since most recent 90-day or worse rating.
last_record_months,int,TBD,The number of months since the last public record.
open_accounts,"int,3-35 range",yes,The number of open credit lines in the borrower's credit file.
public_records,cat,yes,Number of derogatory public records.
purpose,cat,yes,A category provided by the borrower for the loan request.
credit_card_balance,int,yes,Total credit revolving balance.
credit_card_usage,int,yes,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
term,cat,yes,The number of payments on the loan. Values are in months and can be either 36 or 60.
title,str,NO,The loan title provided by the borrower.
nr_accounts,"int,4-65",yes,The total number of credit lines currently in the borrower's credit file.
amount_payed,int,yes,Payments received to date for total amount funded.
total_current_balance,int,yes,Total current balance of all accounts.
year,date,TBD,The year which the loan was funded.
district,str,TBD,The geographic district of the borrower's address.
postcode_district,str,TBD,The postcode of the borrower's address.
credit_score,int,yes,A numeric score rating the creditworthiness of the borrower.
account_id,int,NO,
